episode,epsilon,terminal_reward,cum_discounted_rewards,episode_tot_rewards,avg_reward,avg_delta_reward,gamma,alpha,episode_time,accumulated_time,num_exploitation,num_exploration,done?,steps_before_done,state_size,decay_rate,decay_type
83,0.46015646397946924,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00041413307189941406,0.022402524948120117,8,7,True,14,16,0.999,1
84,0.4596963075154898,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00029015541076660156,0.02269268035888672,7,4,True,10,16,0.999,1
85,0.4592366112079743,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.000354766845703125,0.023047447204589844,7,6,True,12,16,0.999,1
86,0.4587773745967664,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00018906593322753906,0.023236513137817383,4,3,True,6,16,0.999,1
87,0.4583185972221696,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00015091896057128906,0.023387432098388672,2,3,True,4,16,0.999,1
88,0.45786027862494744,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00017881393432617188,0.023566246032714844,5,2,True,6,16,0.999,1
89,0.4574024183463225,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0001926422119140625,0.023758888244628906,4,3,True,6,16,0.999,1
90,0.4569450159279762,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00030112266540527344,0.02406001091003418,3,7,True,9,16,0.999,1
91,0.45648807091204824,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0002040863037109375,0.024264097213745117,3,4,True,6,16,0.999,1
92,0.4560315828411362,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0006630420684814453,0.024927139282226562,12,12,True,23,16,0.999,1
93,0.4555755512582951,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.000270843505859375,0.025197982788085938,6,4,True,9,16,0.999,1
94,0.4551199757070368,0.0,0.0,0.0,0.0,0.0,0.98,0.8,6.103515625e-05,0.025259017944335938,1,1,True,1,16,0.999,1
95,0.45466485573132975,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00015878677368164062,0.025417804718017578,4,2,True,5,16,0.999,1
96,0.45421019087559844,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00010395050048828125,0.02552175521850586,3,1,True,3,16,0.999,1
97,0.45375598068472284,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0002617835998535156,0.025783538818359375,5,4,True,8,16,0.999,1
98,0.45330222470403814,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0002560615539550781,0.026039600372314453,7,3,True,9,16,0.999,1
99,0.4528489224793341,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00022602081298828125,0.026265621185302734,4,4,True,7,16,0.999,1
100,0.4523960735568548,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0002589225769042969,0.02652454376220703,4,5,True,8,16,0.999,1
101,0.45194367748329795,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.000537872314453125,0.027062416076660156,5,13,True,17,16,0.999,1
102,0.45149173380581464,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.000308990478515625,0.02737140655517578,8,4,True,11,16,0.999,1
103,0.4510402420720088,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0002491474151611328,0.027620553970336914,5,4,True,8,16,0.999,1
