,Iteration,Fitness,Time,State,current_restart,Restarts
55,512,2480.790479380434,4.190031482000009,"[32 29  4 36 44 22 12 39 49 20 41  0 27  5 25 46 19 13  8 26  1 40 15 45
  9 30 35  6 37  2 33 11 38  3 31 42 47 48 10 17  7 43 23 28 14 21 24 18
 16 34]",1,5
56,1024,2243.983436738325,4.315473741000005,"[32 34 36  4 44 22 12 39 49 20 41 14 27  5 25 46 19 15 26  8  1 40 13 45
 33 17 28  6 37 30  9 11 38  3 31 42 47 48 10  2 35 43 23  7  0 21 24 29
 16 18]",1,5
57,2048,1971.9891862929696,4.627541868999998,"[32 18 36  4 44 22 20 49 12 39 41 40 27 11 25 46 19 15  9  8 26 33 13 45
  7 17 28  2 37 30  1  5 38  3 31 42 47 48 10  6 35 24 23 14  0 21 43 29
 16 34]",1,5
58,4096,1910.5949452443442,5.447389849000004,"[32 18 29  4 44 22 20 49 12 39 41 40 27  5 38 31 19 46  9  8 26 13 45 33
  7 17 28  2 30 37  1 25 11  3 15 42 47 48 10  6 35 24 23  0 14 21 43 36
 16 34]",1,5
59,8192,1854.3524848312588,8.000297009000008,"[32 18 29  4 44 22 20 49 12 39 41 40 27  5 38  3 11 46  1  8 26 13 45 33
  7 17 28  2 30 37  9 25 31 19 15 42 47 48 10  6 35 24 23  0 14 21 43 36
 16 34]",1,5
60,0,5635.783904928906,8.010060152000008,"[10 37 29  4 17 35 13 25 38 12 32  5 21 47 45  7 11 28 26 23 27 33  8 18
 20 30 36 49 42 34 43 15 39 46  1 31  9  0  2 48 22  6 24 16 44 14 41 19
  3 40]",2,5
61,1,5635.783904928906,8.010462282000006,"[10 37 29  4 17 35 13 25 38 12 32  5 21 47 45  7 11 28 26 23 27 33  8 18
 20 30 36 49 42 34 43 15 39 46  1 31  9  0  2 48 22  6 24 16 44 14 41 19
  3 40]",2,5
62,2,5469.412608295255,8.010902684000001,"[10 37 29  4 17 35 13 25 38 12 32  5 21 47 45  7 11 28 26 23 27 33  8 18
 15 30 36 49 42 34 43 20 39 46  1 31  9  0  2 48 22  6 24 16 44 14 41 19
  3 40]",2,5
63,4,5469.412608295255,8.011546646,"[10 37 29  4 17 35 13 25 38 12 32  5 21 47 45  7 11 28 26 23 27 33  8 18
 15 30 36 49 42 34 43 20 39 46  1 31  9  0  2 48 22  6 24 16 44 14 41 19
  3 40]",2,5
64,8,5227.548887659425,8.012790707999997,"[10 37 29  4 17 35 21 25 38 12 32  5 13 47 45  7 11 28 26 23 27 33  8 18
 15 30 36 49 42 34 43 20 39  1 46 31  9  0  2 48 22  6 24 16 44 14 41 19
  3 40]",2,5
65,16,5129.116914534481,8.014579050000009,"[10 37 29  4 17 35 21 25 38 12 32 49 13 47 45  7 11 28 26 14 27 33  8 18
 15 30 24  5 42 34 43 20 39  1 46 31  9  0  2 48 22  6 36 16 44 23 41 19
  3 40]",2,5
